name,prec_no,block_no
伊是名,91,"1147"
奥,91,"0901"
国頭,91,1586
本部,91,1373
東,91,1374
粟国,91,"1515"
名護,91,47940
読谷,91,"0906"
北原,91,1534
久米島,91,47929
渡名喜,91,1651
胡屋,91,"0907"
宮城島,91,1596
渡嘉敷,91,1651
那覇,91,47936
安次嶺,91,1482
糸数,91,"0909"
北大東,91,1517
南大東,91,47945
旧東,91,1518
下地島,91,1490
宮古島,91,47927
鏡原,91,1483
城辺,91,1248
仲筋,91,1491
伊原間,91,1145
所野,91,1493
与那国島,91,47912
川平,91,1250
西表島,91,47917
石垣島,91,47918
盛山,91,1639
大原,91,1251
波照間,91,1354
