prec_no,pref_name
91,沖縄県
11,宗谷総合振興局
12,上川総合振興局
13,留萌振興局
14,石狩振興局
15,空知総合振興局
16,後志総合振興局
17,オホーツク総合振興局
18,根室振興局
19,釧路総合振興局
20,十勝総合振興局
21,胆振総合振興局
22,日高振興局
23,渡島総合振興局
24,檜山振興局
31,青森県
32,秋田県
33,岩手県
34,宮城県
35,山形県
36,福島県
40,茨城県
41,栃木県
42,群馬県
43,埼玉県
44,東京都
45,千葉県
46,神奈川県
48,長野県
49,山梨県
50,静岡県
51,愛知県
52,岐阜県
53,三重県
54,新潟県
55,富山県
56,石川県
57,福井県
60,滋賀県
61,京都府
62,大阪府
63,兵庫県
64,奈良県
65,和歌山県
66,岡山県
67,広島県
68,島根県
69,鳥取県
71,徳島県
72,香川県
73,愛媛県
74,高知県
81,山口県
82,福岡県
83,大分県
84,長崎県
85,佐賀県
86,熊本県
87,宮崎県
88,鹿児島県
